record_id,first_name,last_name,email,title,company,job_level,job_persona,phone,account_id,industry,employee_count,zi_industry,zi_employee_count,created_date,lead_source,lead_status,is_current_mql,mql_date,email_opt_out,email_bounced,no_longer_with_company,is_converted,converted_contact_id,free_email_known,actual_free_email,mkto_lead_score,mql_cycle_count,is_disqualified,dq_reason,dq_date,entity_type,lineage_type,lead_origin_id,mkto_contact_score_c,has_lead_origin,scoring_person_id,account_name,domain,named_account,is_icp_qualified,account_do_not_contact,account_intent_score,country,annual_revenue,flag_duplicate_email,flag_shared_email,flag_broken_conversion_link,flag_orphan_contact,flag_opted_out,flag_email_bounced,flag_no_longer_with_company,flag_non_prospect,flag_do_not_contact,flag_free_email_leakage,flag_missing_account,flag_missing_title,flag_missing_phone,flag_missing_industry,hard_blocker,hard_blocker_reasons,dq_flag_count,dq_flags,engagement_count,automation_events,last_engagement_date,first_engagement_date,days_since_last_engagement,sent_events,automation_share,automation_inflated_flag,meaningful_count,meaningful_30d,meaningful_90d,eng_event,eng_webinar,eng_content_syndication,eng_telemarketing,eng_email,eng_advertisement,raw_engagement_signal,icp_flag,named_account_flag,employee_fit,segment,segment_multiplier,account_fit_raw,account_fit_signal,job_level_score,job_persona_score,profile_fit_signal,engagement_score,account_fit_score,profile_fit_score,final_score,engagement_weight,account_fit_weight,profile_fit_weight,confidence,score_explanation,tier,tier_sort,bdr_action,is_suppressed,action_tag
L00014,Robert,Sanchez,sales@enterprisetech.com,VP of Something,Vertex Networks Group,VP,Technical Buyer,+1-555-8388,ACC0064,Energy,100.0,,,2024-01-01,Advertisement,MQL,True,,False,False,False,False,,False,False,36.0,0.0,False,,,Lead,Orphan Lead,,,,L00014,Vertex Networks,vertexnetworks.com,True,True,False,57.0,United States,12.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,2,"duplicate_email, shared_email",36.0,25.0,2026-05-17 00:00:00,2023-02-24 00:00:00,5.0,26.0,0.6944444444444444,False,10.0,4.0,7.0,1350.3499461681895,2227.246795350848,364.6889954232868,0.0,0.0,0.0,3942.285736942325,True,True,0.65,L1,0.9,90.45,81.405,0.85,0.85,0.85,100.0,81.4,85.0,95.7,0.75,0.15,0.1,Medium,4 meaningful engagements in last 30d; ICP industry (Energy); named account; segment L1,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
L00056,Mary,Young,myoung@bastionsolutions.com,Individual Contributor of Something,,Individual Contributor,Technical Buyer,,ACC0108,Healthcare,1500.0,,,2024-01-01,Cold Call,Disqualified,False,,False,False,False,True,C00110,False,False,76.0,0.0,False,,,Lead,Converted Lead - linked,,,,C00110,Bastion Solutions,bastionsolutions.com,False,True,False,11.1,United States,369.1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,1,missing_phone,2.0,0.0,2026-05-22 00:00:00,2026-05-10 00:00:00,0.0,0.0,0.0,False,2.0,2.0,2.0,2000.0,0.0,0.0,0.0,0.0,0.0,2000.0,True,False,1.0,L1,0.9,66.11,59.499,0.3,0.85,0.575,100.0,59.5,57.5,89.7,0.75,0.15,0.1,High,2 meaningful engagements in last 30d; ICP industry (Healthcare); segment L1,Call Now,0,Do not action — record converted to contact C00110 (work the contact record instead),True,Converted
L00504,Kevin,Perez,leads@databroker.io,Individual Contributor of Something,Tectonic Labs,Individual Contributor,Technical Buyer,+1-555-3937,ACC0065,Software,2000.0,,,2024-01-01,Event,MQL,True,2023-07-16,False,False,False,True,C00255,False,False,64.0,4.0,False,,,Lead,Converted Lead - linked,,,,C00255,Tectonic Labs,tectoniclabs.com,False,True,False,10.5,United Kingdom,492.5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,2,"duplicate_email, shared_email",5.0,0.0,2026-05-14 00:00:00,2025-08-29 00:00:00,8.0,0.0,0.0,False,5.0,2.0,2.0,0.0,1662.4757922855756,310.2289523667469,0.0,0.0,0.0,1972.7047446523225,True,False,1.0,L1,0.9,66.05,59.445,0.3,0.85,0.575,100.0,59.4,57.5,89.7,0.75,0.15,0.1,Medium,2 meaningful engagements in last 30d; ICP industry (Software); segment L1,Call Now,0,Do not action — record converted to contact C00255 (work the contact record instead),True,Converted
L00286,James,Green,jgreen@bastionsolutions.com,Individual Contributor of Something,Bastion Solutions Ltd,Individual Contributor,Financial Buyer,+1-555-4143,ACC0108,Healthcare,1500.0,,,2024-01-01,Advertisement,Working,False,,True,False,False,True,C00371,False,False,44.0,0.0,False,,,Lead,Converted Lead - linked,,,,C00371,Bastion Solutions,bastionsolutions.com,False,True,False,11.1,United States,369.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,0,,34.0,17.0,2026-05-22 00:00:00,2023-02-04 00:00:00,0.0,22.0,0.5,False,12.0,1.0,1.0,3000.0,4.921566601151851,0.00457763671875,0.0,0.0,0.0058278906488672,3004.93197212852,True,False,1.0,L1,0.9,66.11,59.499,0.3,0.7,0.5,100.0,59.5,50.0,88.9,0.75,0.15,0.1,High,no engagement history; ICP industry (Healthcare); segment L1,Call Now,0,Do not action — record converted to contact C00371 (work the contact record instead),True,Converted
L00324,Jason,Campbell,hello@sdrlists.com,,Radiant Dynamics & Co,Individual Contributor,,+1-555-1781,ACC0015,Software,5000.0,,,2023-10-14,Partner Referral,MQL,True,2023-03-10,False,False,False,True,C00174,False,False,1.0,2.0,False,,,Lead,Converted Lead - linked,,,,C00174,Radiant Dynamics,radiantdynamics.com,True,True,False,12.7,United States,1293.3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2,"duplicate_email, missing_title",10.0,0.0,2026-05-22 00:00:00,2023-12-14 00:00:00,0.0,1.0,0.0,False,9.0,4.0,4.0,3000.0,84.3968716355119,0.0,0.0,0.0,0.0,3084.396871635512,True,True,1.0,L1,0.9,91.27,82.143,0.3,0.0,0.15,100.0,82.1,15.0,88.8,0.75,0.15,0.1,Medium,4 meaningful engagements in last 30d; ICP industry (Software); named account; segment L1,Call Now,0,Do not action — record converted to contact C00174 (work the contact record instead),True,Converted
L00567,Michael,Johnson,hello@sdrlists.com,Individual Contributor of Something,Umbra Systems Ltd,Individual Contributor,,+1-555-6353,ACC0069,Financial Services,25000.0,,,2024-01-01,Partner Referral,Working,False,,False,False,False,False,,False,False,25.0,0.0,False,,,Lead,Orphan Lead,,,,L00567,Umbra Systems,umbrasystems.com,True,True,False,10.0,United States,15899.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,duplicate_email,7.0,0.0,2026-05-22 00:00:00,2024-04-19 00:00:00,0.0,1.0,0.0,False,6.0,3.0,3.0,3000.0,63.297653726633925,0.0,0.0,0.0,0.0,3063.297653726634,True,True,0.65,L1,0.9,85.75,77.175,0.3,0.0,0.15,100.0,77.2,15.0,88.1,0.75,0.15,0.1,High,3 meaningful engagements in last 30d; ICP industry (Financial Services); named account; segment L1,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
C00173,Robert,Rodriguez,rrodriguez@nimbusventures.com,VP of Something,,VP,CISO,+1-555-6156,ACC0073,Energy,3500.0,,,2023-06-19,,,False,,False,False,False,False,,False,False,,,,,,Contact,Orphan Contact,,58.2,False,C00173,Nimbus Ventures,nimbusventures.com,True,True,False,97.9,United States,767.7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,1,orphan_contact,5.0,0.0,2026-05-22 00:00:00,2026-04-17 00:00:00,0.0,0.0,0.0,False,5.0,3.0,5.0,2000.0,740.5487761432822,178.1797436280679,0.0,0.0,0.0,2918.72851977135,True,True,1.0,C2,0.55,99.79,54.88450000000001,0.85,1.0,0.925,100.0,54.9,92.5,87.6,0.6,0.25,0.15,High,3 meaningful engagements in last 30d; ICP industry (Energy); named account; segment C2,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
L00547,Rebecca,White,rwhite@unknown.com,Individual Contributor of Something,,Individual Contributor,CISO,+1-555-8146,,,,Healthcare,,2024-01-01,Advertisement,MQL,True,2023-02-20,False,True,False,True,C00362,False,False,76.0,1.0,False,,,Lead,Converted Lead - linked,,,,C00362,,,,,,,,,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,,2,"missing_account, missing_industry",27.0,15.0,2026-05-04 00:00:00,2023-02-14 00:00:00,18.0,18.0,0.5555555555555556,False,9.0,2.0,2.0,1979.2618661593413,7.048974820793656,1.725279375839684e-05,0.0007455138919328,0.0,0.0,1986.3116037468203,True,False,0.25,L2,0.55,53.75,29.562500000000004,0.3,1.0,0.65,100.0,29.6,65.0,85.9,0.75,0.15,0.1,Medium,2 meaningful engagements in last 30d; ICP industry (nan); segment L2,Call Now,0,Do not action — record converted to contact C00362 (work the contact record instead),True,Converted
L00133,Susan,Jones,sjones@unknown.com,,,C-Level,Influencer,+1-555-7687,,,,Software,,2024-01-01,Event,Nurturing,False,,True,False,False,False,,False,False,9.0,0.0,False,,,Lead,Orphan Lead,,,,L00133,,,,,,,,,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,,3,"missing_account, missing_title, missing_industry",3.0,0.0,2026-05-06 00:00:00,2023-12-15 00:00:00,16.0,1.0,0.0,False,2.0,1.0,1.0,1381.9128799677756,0.0,0.0,0.0,0.0,0.0,1381.9128799677756,True,False,0.25,L2,0.55,53.75,29.562500000000004,1.0,0.5,0.75,96.77332105879474,29.6,75.0,84.5,0.75,0.15,0.1,Medium,last engaged 16d ago; ICP industry (nan); segment L2,Call Now,0,"Do not email — call or engage at event only (opted out, non-email signal present) | Note: opted out — no email",False,Call only
C00255,Kenneth,Walker,kwalker@vertexsystems.com,Individual Contributor of Something,,Individual Contributor,Technical Buyer,+1-555-6467,ACC0140,Software,25000.0,,,2024-01-01,,,False,,False,False,False,False,,False,False,,,,,,Contact,Converted Contact,L00504,47.6,True,C00255,Vertex Systems,vertexsystems.com,False,True,False,10.0,United States,13363.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,,5.0,0.0,2026-05-14 00:00:00,2025-08-29 00:00:00,8.0,0.0,0.0,False,5.0,2.0,2.0,0.0,1662.4757922855756,310.2289523667469,0.0,0.0,0.0,1972.7047446523225,True,False,0.65,C1,1.0,60.75,60.75,0.3,0.85,0.575,100.0,60.8,57.5,83.8,0.6,0.25,0.15,High,2 meaningful engagements in last 30d; ICP industry (Software); segment C1,Call Now,0,Priority outreach — call or email within 24h,False,Call / Email
